customer_id,signup_date_cust,plan_cust,region,acq_channel,contract_type_cust,age,age_flag,plan_sub,mrr,contract_type_sub,signup_date_sub,churn_date,status,sub_flag,avg_monthly_logins,avg_features_used,avg_active_minutes,total_months_with_data,last_active_month,logins_last90d,total_tickets,unresolved_tickets,critical_tickets,tickets_last90d,plan_final,contract_type_final,churned,tenure_days,tenure_bucket,engagement_tier,days_since_last_active
CUST01586,2023-06-19,Premium,East,Referral,Monthly,52.0,,Premium,1199,Monthly,2023-06-19,,Active,,11.22,8.17,564.61,23,2025-04-01,13.0,6.0,2.0,0.0,1.0,Premium,Monthly,0,713.0,12-24m,Medium,61
CUST01055,2024-08-04,Standard,East,Organic,Monthly,,NEGATIVE_AGE,Standard,599,Monthly,2024-08-04,,Active,,1.78,9.56,363.56,9,2025-04-01,2.0,0.0,0.0,0.0,0.0,Standard,Monthly,0,301.0,6-12m,Low,61
CUST01784,2023-04-20,Basic,Central,Organic,Annual,30.0,,Basic,299,Annual,2023-04-20,,Active,,7.64,7.44,564.8,25,2025-04-01,9.0,0.0,0.0,0.0,0.0,Basic,Annual,0,773.0,24m+,Medium,61
CUST00072,2024-08-13,Basic,North,Social,Monthly,69.0,,Basic,299,Monthly,2024-08-13,,Active,,11.11,7.78,754.78,9,2025-04-01,8.0,1.0,0.0,0.0,0.0,Basic,Monthly,0,292.0,6-12m,Medium,61
CUST02976,2025-01-01,Enterprise,East,Referral,Monthly,66.0,,Enterprise,2999,Monthly,2025-01-01,,Active,,19.75,8.0,735.75,4,2025-04-01,22.0,1.0,0.0,0.0,1.0,Enterprise,Monthly,0,151.0,3-6m,High,61
CUST02527,2023-06-07,Standard,South,Social,Annual,18.0,,Standard,599,Annual,2023-06-07,,Active,,11.48,7.52,593.74,23,2025-04-01,10.0,0.0,0.0,0.0,0.0,Standard,Annual,0,725.0,12-24m,Medium,61
CUST00759,2024-12-05,Standard,Central,Referral,Annual,27.0,,Standard,599,Annual,2024-05-12,,Active,,5.17,9.17,690.92,12,2025-04-01,9.0,0.0,0.0,0.0,0.0,Standard,Annual,0,385.0,12-24m,Medium,61
CUST02413,2024-05-09,Premium,West,Referral,Annual,30.0,,Premium,1199,Annual,2024-05-09,2024-09-20,Churned,,1.8,10.8,685.2,5,2024-09-01,0.0,4.0,0.0,0.0,0.0,Premium,Annual,1,134.0,3-6m,Low,273
CUST02086,2024-12-14,Basic,South,Social,Monthly,69.0,,Basic,299,Monthly,2024-12-14,,Active,,12.8,11.4,607.4,5,2025-04-01,13.0,2.0,0.0,0.0,0.0,Basic,Monthly,0,169.0,3-6m,Medium,61
CUST02306,2023-01-23,Basic,North,Social,Annual,,,Basic,299,Annual,2023-01-23,2024-06-28,Churned,,2.0,10.39,594.83,18,2024-06-01,0.0,3.0,1.0,0.0,1.0,Basic,Annual,1,522.0,12-24m,Low,365
CUST02628,2024-08-13,Basic,West,Referral,Annual,32.0,,Basic,299,Annual,2024-08-13,,Active,,3.89,10.0,625.33,9,2025-04-01,6.0,4.0,2.0,0.0,1.0,Basic,Annual,0,292.0,6-12m,Low,61
CUST00241,2023-03-22,Basic,East,Social,Monthly,67.0,,Basic,299,Monthly,2023-03-22,,Active,,12.54,7.27,524.54,26,2025-04-01,11.0,0.0,0.0,0.0,0.0,Basic,Monthly,0,802.0,24m+,Medium,61
CUST01932,2024-08-30,Basic,West,Paid Search,Monthly,60.0,,Basic,299,Monthly,2024-08-30,2025-05-08,Churned,,12.11,11.11,492.0,9,2025-04-01,12.0,1.0,0.0,0.0,0.0,Basic,Monthly,1,251.0,6-12m,Medium,61
CUST02570,2025-01-23,Premium,Central,Social,Monthly,68.0,,Premium,1199,Monthly,2025-01-23,,Active,,13.25,4.0,824.75,4,2025-04-01,15.0,0.0,0.0,0.0,0.0,Premium,Monthly,0,129.0,3-6m,Medium,61
CUST00393,2023-04-02,Standard,North,Organic,Monthly,46.0,,Standard,599,Monthly,2023-02-04,,Active,,7.52,8.41,656.15,27,2025-04-01,8.0,0.0,0.0,0.0,0.0,Standard,Monthly,0,848.0,24m+,Medium,61
CUST01679,2023-01-11,Enterprise,West,Referral,Annual,26.0,,Enterprise,2999,Annual,2023-01-11,,Active,,1.82,9.71,664.93,28,2025-04-01,0.0,0.0,0.0,0.0,0.0,Enterprise,Annual,0,872.0,24m+,Low,61
CUST01777,2024-03-09,Standard,West,Referral,Annual,54.0,,Standard,599,Annual,2024-03-09,2024-08-07,Churned,,2.5,6.5,597.33,6,2024-08-01,0.0,4.0,2.0,0.0,0.0,Standard,Annual,1,151.0,3-6m,Low,304
CUST01732,2023-11-29,Basic,Central,Organic,Monthly,57.0,,Basic,299,Monthly,2023-11-29,,Active,,4.33,7.89,503.94,18,2025-04-01,4.0,2.0,0.0,0.0,1.0,Basic,Monthly,0,550.0,12-24m,Low,61
CUST00760,2024-08-02,Standard,East,Partner,Monthly,38.0,,Standard,599,Monthly,2024-08-02,2025-04-29,Churned,,11.67,5.11,658.89,9,2025-04-01,11.0,2.0,0.0,0.0,1.0,Standard,Monthly,1,270.0,6-12m,Medium,61
CUST02149,2023-06-27,Standard,Central,Social,Monthly,19.0,,Standard,599,Monthly,2023-06-27,2023-12-05,Churned,,6.86,6.0,824.57,7,2023-12-01,0.0,1.0,0.0,0.0,0.0,Standard,Monthly,1,161.0,3-6m,Medium,548
CUST02307,2023-11-18,Enterprise,East,Partner,Monthly,31.0,,Enterprise,2999,Monthly,2023-11-18,,Active,,5.17,8.5,573.44,18,2025-04-01,5.0,1.0,0.0,0.0,0.0,Enterprise,Monthly,0,561.0,12-24m,Medium,61
CUST02224,2023-08-04,Standard,South,Referral,Monthly,20.0,,Standard,599,Monthly,2023-08-04,2025-03-06,Churned,,4.47,9.74,646.79,19,2025-02-01,0.0,6.0,0.0,0.0,1.0,Standard,Monthly,1,580.0,12-24m,Low,120
CUST01259,2024-06-18,Basic,West,Organic,Monthly,61.0,,Basic,299,Monthly,2024-06-18,,Active,,20.0,9.27,694.82,11,2025-04-01,18.0,0.0,0.0,0.0,0.0,Basic,Monthly,0,348.0,6-12m,High,61
CUST00629,2023-09-13,Basic,North,Partner,Annual,35.0,,Basic,299,Annual,2023-09-13,,Active,,7.95,6.2,664.25,20,2025-04-01,6.0,3.0,0.0,0.0,2.0,Basic,Annual,0,627.0,12-24m,Medium,61
CUST02383,2024-05-13,Premium,South,Paid Search,Monthly,64.0,,Premium,1199,Monthly,2024-05-13,,Active,,8.17,6.67,515.83,12,2025-04-01,7.0,2.0,1.0,0.0,0.0,Premium,Monthly,0,384.0,12-24m,Medium,61
CUST01806,2024-01-20,Basic,West,Social,Monthly,47.0,,Basic,299,Monthly,2024-01-20,,Active,,12.56,6.88,714.56,16,2025-04-01,16.0,1.0,0.0,0.0,0.0,Basic,Monthly,0,498.0,12-24m,Medium,61
CUST00306,2023-08-08,Enterprise,East,Referral,Annual,30.0,,Enterprise,2999,Annual,2023-08-08,,Active,,7.81,10.0,761.19,21,2025-04-01,10.0,3.0,0.0,0.0,2.0,Enterprise,Annual,0,663.0,12-24m,Medium,61
CUST01169,2024-04-14,Enterprise,South,Organic,Annual,50.0,,Enterprise,2999,Annual,2024-04-14,,Active,,4.92,7.69,609.31,13,2025-04-01,4.0,0.0,0.0,0.0,0.0,Enterprise,Annual,0,413.0,12-24m,Low,61
CUST01605,2024-02-28,Standard,North,Partner,Annual,70.0,,Standard,599,Annual,2024-02-28,2024-09-04,Churned,,1.86,8.0,619.86,7,2024-08-01,0.0,1.0,1.0,0.0,0.0,Standard,Annual,1,189.0,6-12m,Low,304
CUST02894,2024-03-31,Basic,East,Referral,Annual,69.0,,Basic,299,Annual,2024-03-31,,Active,,1.5,7.5,652.86,14,2025-04-01,3.0,0.0,0.0,0.0,0.0,Basic,Annual,0,427.0,12-24m,Low,61
CUST00777,2023-03-21,Standard,West,Partner,Monthly,43.0,,Standard,599,Monthly,2023-03-21,,Active,,11.46,8.62,466.73,26,2025-04-01,10.0,0.0,0.0,0.0,0.0,Standard,Monthly,0,803.0,24m+,Medium,61
CUST01248,2023-04-13,Standard,South,Paid Search,Monthly,66.0,,Standard,599,Monthly,2023-04-13,2023-12-15,Churned,,3.89,7.56,630.11,9,2023-12-01,0.0,1.0,0.0,0.0,0.0,Standard,Monthly,1,246.0,6-12m,Low,548
CUST02465,2024-02-28,Basic,South,Social,Monthly,56.0,,Basic,299,Monthly,2024-02-28,2024-12-18,Churned,,5.27,5.18,554.55,11,2024-12-01,0.0,3.0,0.0,0.0,0.0,Basic,Monthly,1,294.0,6-12m,Medium,182
