customer_id,signup_date,plan,region,acq_channel,contract_type,age,age_flag
CUST01586,2023-06-19,Premium,East,Referral,Monthly,52.0,
CUST01055,2024-08-04,Standard,East,Organic,Monthly,,NEGATIVE_AGE
CUST01784,2023-04-20,Basic,Central,Organic,Annual,30.0,
CUST00072,2024-08-13,Basic,North,Social,Monthly,69.0,
CUST02976,2025-01-01,Enterprise,East,Referral,Monthly,66.0,
CUST02527,2023-06-07,Standard,South,Social,Annual,18.0,
CUST00759,2024-12-05,Standard,Central,Referral,Annual,27.0,
CUST02413,2024-05-09,Premium,West,Referral,Annual,30.0,
CUST02086,2024-12-14,Basic,South,Social,Monthly,69.0,
CUST02306,2023-01-23,Basic,North,Social,Annual,,
CUST02628,2024-08-13,Basic,West,Referral,Annual,32.0,
CUST00241,2023-03-22,Basic,East,Social,Monthly,67.0,
CUST01932,2024-08-30,Basic,West,Paid Search,Monthly,60.0,
CUST02570,2025-01-23,Premium,Central,Social,Monthly,68.0,
CUST00393,2023-04-02,Standard,North,Organic,Monthly,46.0,
CUST01679,2023-01-11,Enterprise,West,Referral,Annual,26.0,
CUST01777,2024-03-09,Standard,West,Referral,Annual,54.0,
CUST01732,2023-11-29,Basic,Central,Organic,Monthly,57.0,
CUST00760,2024-08-02,Standard,East,Partner,Monthly,38.0,
CUST02149,2023-06-27,Standard,Central,Social,Monthly,19.0,
CUST02307,2023-11-18,Enterprise,East,Partner,Monthly,31.0,
CUST02224,2023-08-04,Standard,South,Referral,Monthly,20.0,
CUST01259,2024-06-18,Basic,West,Organic,Monthly,61.0,
CUST00629,2023-09-13,Basic,North,Partner,Annual,35.0,
CUST02383,2024-05-13,Premium,South,Paid Search,Monthly,64.0,
CUST01806,2024-01-20,Basic,West,Social,Monthly,47.0,
CUST00306,2023-08-08,Enterprise,East,Referral,Annual,30.0,
CUST01169,2024-04-14,Enterprise,South,Organic,Annual,50.0,
CUST01605,2024-02-28,Standard,North,Partner,Annual,70.0,
CUST02894,2024-03-31,Basic,East,Referral,Annual,69.0,
CUST00777,2023-03-21,Standard,West,Partner,Monthly,43.0,
CUST01248,2023-04-13,Standard,South,Paid Search,Monthly,66.0,
CUST02465,2024-02-28,Basic,South,Social,Monthly,56.0,
CUST01053,2024-09-11,Basic,West,Social,Monthly,50.0,
CUST01711,2023-12-26,Premium,South,Paid Search,Monthly,20.0,
CUST00327,2023-11-23,Basic,North,Organic,Monthly,24.0,
CUST01479,2025-01-27,Basic,West,Organic,Annual,41.0,
CUST01104,2024-04-14,Enterprise,Central,Organic,Monthly,22.0,
CUST01986,2023-09-05,Premium,Central,Paid Search,Monthly,21.0,
CUST01318,2023-11-28,Basic,North,Paid Search,Annual,48.0,
CUST01730,2023-12-10,Enterprise,East,Social,Monthly,33.0,
CUST00976,2023-06-13,Basic,West,Organic,Monthly,39.0,
CUST02884,2023-09-10,Basic,South,Organic,Monthly,29.0,
CUST02054,2024-12-30,Basic,East,Social,Annual,55.0,
CUST00569,2024-06-22,Basic,Central,Social,Annual,68.0,
CUST00374,2024-05-29,Enterprise,East,Referral,Monthly,36.0,
CUST01570,2024-01-04,Basic,South,Paid Search,Monthly,57.0,
CUST02185,2024-12-02,Standard,East,Organic,Monthly,24.0,
CUST02226,2023-03-27,Basic,Central,Paid Search,Monthly,38.0,
CUST00512,2024-01-28,Basic,North,Organic,Monthly,37.0,
CUST01435,2023-12-16,Basic,Central,Paid Search,Annual,26.0,
CUST00251,2025-01-26,Premium,West,Partner,Monthly,30.0,
CUST01162,2023-06-25,Premium,South,Paid Search,Annual,67.0,
CUST00273,2024-03-23,Basic,South,Social,Annual,19.0,
CUST00740,2023-06-21,Enterprise,Central,Paid Search,Monthly,31.0,
CUST00263,2023-04-14,Standard,Central,Social,Annual,20.0,
CUST00323,2024-10-19,Enterprise,West,Organic,Annual,43.0,
CUST02805,2024-12-02,Standard,East,Referral,Annual,19.0,
CUST00108,2023-11-16,Standard,West,Paid Search,Annual,22.0,
CUST00682,2023-04-06,Basic,East,Organic,Monthly,47.0,
CUST02525,2024-11-18,Basic,East,Social,Annual,19.0,
CUST02698,2024-02-21,Basic,West,Referral,Annual,32.0,
CUST01201,2025-02-13,Premium,West,Paid Search,Monthly,70.0,
CUST02239,2024-05-30,Enterprise,Central,Referral,Monthly,19.0,
CUST01380,2024-06-24,Standard,South,Social,Monthly,31.0,
CUST01553,2024-07-03,Premium,Central,Organic,Annual,56.0,
CUST00503,2023-12-12,Standard,South,Referral,Monthly,39.0,
CUST00353,2025-08-01,Basic,North,Referral,Monthly,43.0,
CUST00636,2024-09-07,Premium,South,Organic,Annual,37.0,
CUST02492,2024-04-08,Standard,West,Paid Search,Monthly,60.0,
CUST02351,2023-04-18,Basic,East,Organic,Annual,39.0,
CUST00872,2023-10-03,Basic,West,Social,Monthly,27.0,
CUST00223,2023-08-20,Premium,Central,Partner,Annual,57.0,
CUST00637,2024-12-30,Enterprise,East,Paid Search,Monthly,40.0,
CUST02346,2024-07-03,Standard,Central,Social,Monthly,48.0,
CUST01969,2024-08-17,Basic,Central,Social,Monthly,19.0,
CUST01713,2023-04-14,Standard,East,Partner,Monthly,37.0,
CUST00020,2024-01-30,Basic,West,Paid Search,Annual,18.0,
CUST00700,2024-07-27,Premium,Central,Paid Search,Annual,63.0,
CUST00893,2024-11-01,Standard,Central,Paid Search,Monthly,19.0,
CUST02280,2023-07-19,Standard,Central,Social,Annual,,
CUST02982,2024-08-06,Standard,South,Partner,Annual,24.0,
CUST01351,2024-05-14,Basic,,Paid Search,Monthly,38.0,
CUST02010,2023-02-06,Enterprise,West,Referral,Monthly,25.0,
CUST02542,2023-11-23,Standard,East,Referral,Monthly,22.0,
CUST02312,2024-05-31,Premium,East,Social,Monthly,54.0,
CUST02773,2024-08-30,Basic,Central,Organic,Monthly,26.0,
CUST02879,2025-02-18,Basic,West,Referral,Monthly,60.0,
CUST01833,2023-04-17,Standard,Central,Partner,Monthly,46.0,
CUST02738,2024-03-19,Basic,East,Paid Search,Monthly,48.0,
CUST02820,2024-10-19,Basic,North,Organic,Monthly,54.0,
CUST02523,2024-08-06,Premium,West,Paid Search,Monthly,40.0,
CUST01047,2024-12-07,Basic,South,Paid Search,Monthly,42.0,
CUST02494,2024-08-05,Basic,Central,Paid Search,Monthly,66.0,
CUST01312,2024-05-21,Basic,East,Partner,Monthly,47.0,
CUST01670,2023-12-04,Premium,South,Paid Search,Annual,29.0,
CUST01149,2023-12-09,Basic,North,Referral,Annual,,
CUST01145,2024-07-09,Standard,,Social,Monthly,39.0,
CUST00478,2023-05-18,Basic,South,Paid Search,Monthly,62.0,
CUST01535,2023-01-28,Basic,West,Paid Search,Annual,72.0,
CUST01615,2024-11-17,Basic,South,Partner,Monthly,49.0,
CUST00532,2023-09-23,Basic,South,Social,Annual,64.0,
CUST01627,2023-05-07,Basic,Central,Paid Search,Annual,49.0,
CUST02061,2024-08-16,Standard,West,Organic,Monthly,66.0,
CUST02007,2023-02-25,Basic,West,Social,Monthly,35.0,
CUST01714,2023-04-25,Basic,North,Referral,Annual,26.0,
CUST00585,2024-12-11,Premium,Central,Social,Monthly,55.0,
CUST02759,2023-09-12,Standard,South,Partner,Annual,50.0,
CUST02606,2023-05-26,Basic,South,Organic,Monthly,61.0,
CUST00105,2023-05-10,Standard,North,Referral,Monthly,62.0,
CUST02219,2024-02-29,Standard,East,Organic,Monthly,58.0,
CUST02697,2024-09-20,Enterprise,East,Social,Monthly,,
CUST01418,2023-09-19,Premium,South,Paid Search,Monthly,28.0,
CUST00718,2023-01-14,Standard,North,Paid Search,Monthly,21.0,
CUST02213,2023-12-12,Enterprise,East,Paid Search,Monthly,65.0,
CUST01058,2024-04-28,Standard,North,Referral,Monthly,55.0,
CUST01065,2023-05-16,Standard,East,Social,Monthly,25.0,
CUST00047,2023-03-11,Standard,South,Paid Search,Annual,54.0,
CUST00539,2023-11-24,Basic,North,Referral,Monthly,61.0,
CUST01716,2024-01-16,Basic,,Organic,Monthly,24.0,
CUST01342,2024-09-23,Basic,West,Social,Monthly,26.0,
CUST02981,2023-05-31,Basic,North,Organic,Annual,,
CUST00472,2024-03-18,Basic,Central,Social,Monthly,45.0,
CUST02919,2024-10-02,Standard,West,Organic,Monthly,72.0,
CUST00411,2024-01-15,Basic,North,Referral,Monthly,27.0,
CUST01801,2024-10-27,Enterprise,North,Partner,Monthly,41.0,
CUST00194,2024-12-18,Basic,West,Organic,Monthly,20.0,
CUST00006,2023-08-09,Enterprise,East,Organic,Monthly,40.0,
CUST02089,2024-03-28,Standard,East,Partner,Monthly,64.0,
CUST01816,2023-09-23,Basic,North,Organic,Annual,39.0,
CUST01848,2023-01-26,Premium,South,Partner,Monthly,67.0,
CUST02155,2024-11-11,Standard,North,Organic,Annual,50.0,
CUST01661,2024-11-03,Enterprise,South,Paid Search,Monthly,64.0,
CUST00570,2024-12-31,Basic,Central,Social,Monthly,54.0,
CUST02014,2024-06-29,Basic,East,Organic,Annual,19.0,
CUST01867,2024-01-28,Standard,Central,Paid Search,Annual,,NEGATIVE_AGE
CUST01336,2024-11-08,Standard,South,Social,Monthly,44.0,
CUST02005,2023-08-14,Standard,East,Partner,Annual,36.0,
CUST01836,2023-08-05,Basic,West,Paid Search,Annual,63.0,
CUST00701,2024-04-08,Basic,South,Organic,Monthly,58.0,
CUST00540,2023-02-23,Basic,Central,Partner,Annual,22.0,
CUST00189,2025-01-11,Standard,West,Partner,Annual,41.0,
CUST00987,2024-12-17,Standard,Central,Organic,Monthly,55.0,
CUST01084,2023-10-29,Standard,North,Referral,Annual,35.0,
CUST01283,2023-04-13,Premium,East,Paid Search,Monthly,56.0,
CUST00319,2024-06-30,Basic,South,Referral,Monthly,28.0,
CUST00180,2024-08-11,Basic,East,Organic,Annual,43.0,
CUST01160,2024-02-26,Standard,East,Paid Search,Annual,51.0,
CUST01987,2024-07-13,Standard,North,Referral,Annual,34.0,
CUST02508,2024-03-01,Basic,Central,Paid Search,Monthly,58.0,
CUST01726,2024-09-13,Basic,South,Organic,Monthly,55.0,
CUST02058,2023-06-05,Premium,Central,Referral,Annual,47.0,
CUST01172,2024-12-06,Basic,West,Partner,Monthly,53.0,
CUST02130,2025-02-24,Standard,East,Referral,Monthly,,
CUST00789,2025-01-11,Standard,West,Referral,Monthly,42.0,
CUST01967,2024-10-22,Standard,West,Referral,Monthly,63.0,
