customer_id,plan,mrr,contract_type,signup_date,churn_date,status,sub_flag
CUST00001,Basic,299,Monthly,2024-10-16,2025-04-10,Churned,
CUST00002,Premium,1199,Monthly,2024-11-23,,Active,
CUST00003,Basic,299,Monthly,2023-04-06,,Active,
CUST00004,Premium,1199,Monthly,2024-10-27,2025-03-16,Churned,
CUST00005,Premium,1199,Monthly,2023-01-07,,Active,
CUST00006,Enterprise,2999,Monthly,2023-08-09,,Active,
CUST00007,Standard,599,Monthly,2023-12-19,,Active,
CUST00008,Standard,599,Monthly,2023-03-22,,Active,
CUST00009,Basic,299,Annual,2024-12-22,,Active,
CUST00010,Premium,1199,Monthly,2023-08-27,2025-02-23,Churned,
CUST00011,Basic,299,Annual,2023-06-16,,Active,
CUST00012,Basic,299,Monthly,2024-10-25,2025-01-19,Churned,
CUST00013,Basic,299,Monthly,2024-01-24,2024-03-11,Churned,
CUST00014,Basic,299,Monthly,2023-02-27,,Active,
CUST00015,Enterprise,2999,Monthly,2023-08-05,,Active,
CUST00016,Basic,299,Monthly,2024-05-26,,Active,ACTIVE_WITH_CHURN_DATE
CUST00017,Standard,599,Monthly,2024-07-28,2025-01-18,Churned,
CUST00018,Enterprise,2999,Monthly,2023-08-13,,Active,
CUST00019,Basic,299,Monthly,2023-04-23,,Active,
CUST00020,Basic,299,Annual,2024-01-30,2025-05-09,Churned,
CUST00021,Premium,1199,Annual,2024-11-27,,Active,
CUST00022,Basic,299,Annual,2023-04-25,,Active,
CUST00023,Enterprise,2999,Monthly,2023-09-27,,Active,
CUST00024,Premium,1199,Monthly,2023-11-02,,Active,
CUST00025,Standard,599,Monthly,2023-06-15,2024-06-15,Churned,
CUST00026,Basic,299,Annual,2023-01-20,,Active,
CUST00027,Basic,299,Monthly,2023-09-03,,Active,
CUST00028,Enterprise,2999,Monthly,2023-03-12,,Churned,CHURN_BEFORE_SIGNUP
CUST00029,Basic,299,Monthly,2024-07-16,,Active,
CUST00030,Premium,1199,Monthly,2024-07-06,,Active,
CUST00031,Basic,299,Monthly,2024-10-27,,Active,
CUST00032,Basic,299,Monthly,2023-12-13,,Active,
CUST00033,Standard,599,Monthly,2024-12-25,,Active,
CUST00034,Standard,599,Monthly,2023-03-14,,Active,
CUST00035,Enterprise,2999,Monthly,2025-01-10,,Active,
CUST00036,Basic,299,Monthly,2024-02-21,2024-04-12,Churned,
CUST00037,Premium,1199,Annual,2024-04-23,,Active,
CUST00038,Standard,599,Monthly,2023-03-04,2024-10-05,Churned,
CUST00039,Standard,599,Monthly,2023-07-14,2023-12-22,Churned,
CUST00040,Standard,599,Annual,2023-03-19,,Active,
CUST00041,Enterprise,2999,Monthly,2023-01-16,,Active,
CUST00042,Enterprise,2999,Annual,2024-02-15,2024-10-20,Churned,
CUST00043,Basic,299,Monthly,2024-04-10,,Active,
CUST00044,Basic,299,Monthly,2023-10-31,,Active,
CUST00045,Basic,299,Annual,2023-11-18,2025-02-18,Churned,
CUST00046,Basic,299,Monthly,2023-06-11,2023-09-01,Churned,
CUST00047,Standard,599,Annual,2023-03-11,,Active,
CUST00048,Standard,599,Monthly,2023-09-10,2025-04-15,Churned,
CUST00049,Standard,599,Annual,2024-08-01,,Active,
CUST00050,Basic,299,Annual,2023-09-29,,Active,
CUST00051,Standard,599,Monthly,2023-01-10,2023-06-16,Churned,
CUST00052,Basic,299,Annual,2024-06-02,2024-10-22,Churned,
CUST00053,Basic,299,Monthly,2023-10-19,,Active,
CUST00054,Standard,599,Annual,2024-10-31,,Active,
CUST00055,Basic,299,Monthly,2023-09-28,2024-02-19,Churned,
CUST00056,Basic,299,Monthly,2024-09-11,,Active,
CUST00057,Standard,599,Monthly,2024-06-01,,Active,
CUST00058,Basic,299,Monthly,2023-02-15,,Active,
CUST00059,Standard,599,Monthly,2024-03-28,2024-07-04,Churned,
CUST00060,Standard,599,Monthly,2023-06-02,2025-05-22,Churned,
CUST00061,Basic,299,Monthly,2023-02-12,,Active,
CUST00062,Basic,299,Monthly,2024-11-13,,Active,
CUST00063,Basic,299,Annual,2025-02-06,2025-03-29,Churned,
CUST00064,Premium,1199,Annual,2023-07-01,,Active,
CUST00065,Premium,1199,Annual,2024-02-26,,Active,
CUST00066,Premium,1199,Annual,2024-01-27,,Active,
CUST00067,Basic,299,Annual,2023-12-25,,Active,
CUST00068,Basic,299,Monthly,2023-12-03,,Active,
CUST00069,Basic,299,Monthly,2024-06-05,,Active,
CUST00070,Standard,599,Monthly,2023-07-02,,Active,
CUST00071,Premium,1199,Monthly,2025-01-16,,Active,
CUST00072,Basic,299,Monthly,2024-08-13,,Active,
CUST00073,Standard,599,Monthly,2024-07-05,,Active,
CUST00074,Standard,599,Monthly,2023-12-05,2025-02-17,Churned,
CUST00075,Standard,599,Monthly,2024-11-13,,Active,
CUST00076,Standard,599,Annual,2024-03-06,,Active,
CUST00077,Basic,299,Monthly,2024-08-05,2024-12-14,Churned,
CUST00078,Premium,1199,Monthly,2024-03-16,,Active,
CUST00079,Basic,299,Annual,2024-11-22,,Active,
CUST00080,Standard,599,Monthly,2023-06-23,2023-11-01,Churned,
CUST00081,Premium,1199,Monthly,2023-04-06,,Active,
CUST00082,Basic,299,Monthly,2023-05-31,,Active,
CUST00083,Standard,599,Annual,2023-03-16,,Active,
CUST00084,Basic,299,Annual,2024-02-14,2024-06-04,Churned,
CUST00085,Basic,299,Monthly,2024-03-11,,Active,
CUST00086,Standard,599,Annual,2023-05-05,,Active,
CUST00087,Enterprise,2999,Annual,2023-11-21,,Active,
CUST00088,Premium,1199,Monthly,2024-03-12,,Active,
CUST00089,Basic,299,Monthly,2024-04-05,,Active,
CUST00090,Standard,599,Monthly,2024-06-17,2025-03-15,Churned,
CUST00091,Basic,299,Monthly,2023-08-29,,Active,
CUST00092,Basic,299,Monthly,2023-08-25,2024-08-21,Churned,
CUST00093,Standard,599,Annual,2023-12-05,2024-07-05,Churned,
CUST00094,Standard,599,Annual,2025-02-27,,Active,
CUST00095,Basic,299,Monthly,2024-05-03,,Active,
CUST00096,Standard,599,Annual,2024-03-05,,Active,
CUST00097,Basic,299,Monthly,2023-08-13,2025-03-26,Churned,
CUST00098,Premium,1199,Annual,2024-02-19,,Active,
CUST00099,Enterprise,2999,Monthly,2023-01-28,,Active,
CUST00100,Basic,299,Monthly,2024-03-14,,Active,
CUST00101,Standard,599,Monthly,2023-08-05,2023-11-27,Churned,
CUST00102,Basic,299,Annual,2024-03-07,,Active,
CUST00103,Basic,299,Annual,2023-12-25,,Active,
CUST00104,Enterprise,2999,Monthly,2023-02-01,2023-03-25,Churned,
CUST00105,Standard,599,Monthly,2023-05-10,2023-08-29,Churned,
CUST00106,Premium,1199,Annual,2023-09-20,,Active,
CUST00107,Premium,1199,Monthly,2023-04-28,2023-09-06,Churned,
CUST00108,Standard,599,Annual,2023-11-16,2024-02-26,Churned,
CUST00109,Standard,599,Annual,2024-08-29,2024-11-03,Churned,
CUST00110,Standard,599,Monthly,2024-12-01,,Active,
CUST00111,Standard,599,Monthly,2023-12-22,,Active,
CUST00112,Premium,1199,Monthly,2024-03-06,,Active,
CUST00113,Premium,1199,Monthly,2024-04-15,2025-05-10,Churned,
CUST00114,Standard,599,Monthly,2023-10-04,,Active,
CUST00115,Standard,599,Annual,2025-01-18,,Active,
CUST00116,Premium,1199,Monthly,2023-10-13,2023-12-18,Churned,
CUST00117,Basic,299,Monthly,2024-01-24,2024-08-16,Churned,
CUST00118,Premium,1199,Monthly,2023-12-30,,Active,
CUST00119,Basic,299,Annual,2024-07-23,,Active,
CUST00120,Premium,1199,Monthly,2024-07-22,,Active,
CUST00121,Basic,299,Monthly,2023-01-18,2023-08-05,Churned,
CUST00122,Basic,299,Monthly,2024-08-18,2024-10-18,Churned,
CUST00123,Basic,299,Monthly,2024-07-17,2025-02-25,Churned,
CUST00124,Basic,299,Annual,2025-01-08,,Active,
CUST00125,Basic,299,Monthly,2023-07-09,2025-04-27,Churned,
CUST00126,Standard,599,Monthly,2024-06-21,2024-11-14,Churned,
CUST00127,Basic,299,Monthly,2023-07-03,2024-06-28,Churned,
CUST00128,Basic,299,Annual,2024-07-20,2025-04-26,Churned,
CUST00129,Standard,599,Monthly,2023-01-13,,Active,
CUST00130,Enterprise,2999,Monthly,2023-09-16,2024-03-16,Churned,
CUST00131,Standard,599,Annual,2023-03-17,,Active,
CUST00132,Enterprise,2999,Monthly,2023-03-29,,Active,
CUST00133,Basic,299,Annual,2024-09-25,,Active,
CUST00134,Enterprise,2999,Monthly,2024-08-25,2025-01-04,Churned,
CUST00135,Enterprise,2999,Monthly,2023-04-12,,Active,
CUST00136,Basic,299,Monthly,2023-06-10,2024-10-24,Churned,
CUST00137,Standard,599,Monthly,2024-12-06,,Active,
CUST00138,Premium,1199,Annual,2024-12-20,,Active,
CUST00139,Standard,599,Monthly,2024-10-02,,Active,
CUST00140,Enterprise,2999,Monthly,2023-06-02,,Active,
CUST00141,Premium,1199,Monthly,2024-09-01,,Active,
