ticket_id,customer_id,created_date,category,priority,resolved,orphan_flag
TKT001149,CUST00754,2025-03-15,Account,Low,Yes,False
TKT004097,CUST02649,2024-11-22,Other,Critical,No,False
TKT004575,CUST02987,2023-09-13,Billing,Low,Yes,False
TKT003387,CUST02214,2024-01-28,Other,Critical,Yes,False
TKT002570,CUST01685,2024-08-01,Technical,High,Yes,False
TKT001727,CUST01143,2025-04-17,Other,Low,Yes,False
TKT000027,CUST00026,2025-03-04,Technical,Low,Yes,False
TKT003692,CUST02396,2025-05-04,Feature Request,Low,No,False
TKT000696,CUST00451,2024-03-19,Account,Medium,Yes,False
TKT001814,CUST01198,2024-09-23,Other,High,Yes,False
TKT001116,CUST00735,2025-03-29,Technical,High,Yes,False
TKT000293,CUST00197,2025-03-23,Account,Low,Yes,False
TKT004600,CUST90011,2023-10-22,Technical,Medium,Yes,True
TKT001266,CUST00844,2024-07-31,Technical,Low,Yes,False
TKT001771,CUST01170,2025-05-05,Account,Medium,Yes,False
TKT004565,CUST02983,2025-04-27,Feature Request,Medium,Yes,False
TKT000087,CUST00059,2024-06-03,Technical,Low,No,False
TKT004269,CUST02797,2024-09-26,Technical,Low,Yes,False
TKT003283,CUST02146,2024-10-22,Billing,Low,Yes,False
TKT001819,CUST01200,2024-09-21,Technical,Medium,Yes,False
TKT001405,CUST00936,2024-05-16,Account,Low,Yes,False
TKT002983,CUST01946,2025-04-19,Technical,Low,No,False
TKT002362,CUST01546,2024-06-27,Other,High,Yes,False
TKT003509,CUST02273,2024-10-22,Feature Request,High,No,False
TKT004088,CUST02639,2025-03-14,Feature Request,High,No,False
TKT003512,CUST02276,2025-05-26,Feature Request,Medium,Yes,False
TKT002294,CUST01499,2025-03-09,Account,Medium,Yes,False
TKT000230,CUST00159,2025-01-30,Account,Low,No,False
TKT001213,CUST00802,2024-08-13,Account,Critical,Yes,False
TKT000557,CUST00374,2025-01-07,Billing,High,No,False
TKT000630,CUST00403,2024-09-18,Technical,High,Yes,False
TKT000201,CUST00146,2024-07-10,Other,Medium,No,False
TKT004297,CUST02811,2024-07-01,Account,Low,Yes,False
TKT000106,CUST00078,2024-12-10,Billing,Medium,Yes,False
TKT002955,CUST01924,2024-04-04,Other,Medium,No,False
TKT001552,CUST01031,2025-05-13,Technical,Low,Yes,False
TKT000684,CUST00441,2024-05-15,Billing,Medium,Yes,False
TKT000013,CUST00013,2025-02-24,Account,Low,Yes,False
TKT001109,CUST00729,2025-01-13,Technical,Medium,Yes,False
TKT000844,CUST00552,2025-02-17,Other,High,Yes,False
TKT001448,CUST00965,2024-04-06,Technical,High,Yes,False
TKT001238,CUST00820,2024-12-18,Feature Request,High,Yes,False
TKT002120,CUST01403,2025-02-27,Technical,High,Yes,False
TKT000698,CUST00452,2025-04-15,Billing,Low,No,False
TKT000569,CUST00378,2025-02-16,Technical,High,No,False
TKT000839,CUST00552,2025-05-12,Feature Request,Low,No,False
TKT002935,CUST01912,2025-04-10,Feature Request,Low,No,False
TKT002400,CUST01570,2025-05-27,Technical,Critical,Yes,False
TKT002982,CUST01945,2024-01-06,Technical,Critical,Yes,False
TKT000010,CUST00012,2024-12-16,Other,Medium,Yes,False
TKT004245,CUST02781,2025-01-20,Other,Medium,Yes,False
TKT000652,CUST00423,2023-09-28,Billing,Medium,Yes,False
TKT003490,CUST02265,2023-12-26,Billing,Low,No,False
TKT001598,CUST01066,2024-11-16,Billing,Low,No,False
TKT003541,CUST02288,2024-07-29,Account,Medium,Yes,False
TKT000793,CUST00518,2025-03-24,Billing,Low,Yes,False
TKT003121,CUST02048,2025-05-07,Technical,Low,Yes,False
TKT004181,CUST02722,2024-08-15,Account,High,Yes,False
TKT000519,CUST00356,2024-03-08,Billing,High,No,False
TKT002461,CUST01620,2025-05-28,Billing,Medium,Yes,False
TKT000809,CUST00539,2024-05-09,Billing,Low,Yes,False
TKT000398,CUST00272,2023-12-09,Billing,Medium,Yes,False
TKT000897,CUST00581,2024-04-03,Other,Low,Yes,False
TKT001041,CUST00676,2025-02-08,Other,High,Yes,False
TKT001447,CUST00963,2025-05-04,Other,Medium,Yes,False
TKT002250,CUST01472,2025-01-05,Other,Low,No,False
TKT002353,CUST01541,2024-10-20,Other,Medium,Yes,False
TKT000983,CUST00629,2025-04-29,Technical,Medium,Yes,False
TKT002561,CUST01678,2024-05-24,Billing,Low,No,False
TKT003389,CUST02214,2023-11-17,Account,Low,Yes,False
TKT004362,CUST02857,2024-11-02,Account,Low,Yes,False
TKT002588,CUST01692,2024-10-20,Feature Request,Medium,No,False
TKT002585,CUST01692,2025-02-16,Technical,High,No,False
